,Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,StarRatings,SuggestedRatings,OnToDoLists,Ticks
76,Problem B,Tut Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108048876/problem-b,2.1,-1,Boulder,V1,1,15.0,37.329,-118.5773,12,2,7,26
77,Buttermilk Stem,Buttermilk Stem Boulder > Buttermilk Stem Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106130698/buttermilk-stem,3.5,-1,Boulder,V1,1,15.0,37.32906,-118.5768,272,77,400,467
78,Buttermilk Gem,Rowell Rock > Buttermilk Stem Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106130735/buttermilk-gem,3.0,-1,Boulder,V1 R,1,28.0,37.32878,-118.57687,6,2,15,6
79,Junior's Arete,Rowell Rock > Buttermilk Stem Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106130759/juniors-arete,2.4,-1,Boulder,V1,1,20.0,37.32878,-118.57687,14,3,11,12
80,Problem A,Rowell Rock > Buttermilk Stem Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106322590/problem-a,2.2,-1,Boulder,V1 PG13,1,25.0,37.32878,-118.57687,6,1,5,9
81,Problem B,Rowell Rock > Buttermilk Stem Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106322596/problem-b,2.1,-1,Boulder,V1 PG13,1,20.0,37.32878,-118.57687,8,3,4,12
82,Warm up to Hobbs,Corner Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114316113/warm-up-to-hobbs,3.0,-1,Boulder,V1,1,12.0,37.32909,-118.57791,2,2,12,4
83,Unnamed V1,Boy and Girl Rocks > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107030002/unnamed-v1,2.1,-1,Boulder,V1,1,12.0,37.32993,-118.57853,24,4,11,46
84,Flakes,Buttocks/Smooth Shrimp Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108002634/flakes,2.6,-1,Boulder,V1,1,,37.329229999999995,-118.57528,35,9,33,64
85,The Buttocks,Buttocks/Smooth Shrimp Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108002643/the-buttocks,2.0,-1,Boulder,V1,1,,37.329229999999995,-118.57528,2,1,5,5
86,The Womb (Birthing Experience),Womb Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107052779/the-womb-birthing-experience,3.0,-1,Boulder,V1,1,12.0,37.329,-118.57473,129,46,207,236
