route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade,star_ratings,suggested_ratings,on_to_do_lists,ticks
E3 5c,Finlandia Slab Boulder > Arch Drude Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108593029/e3-5c,1,-1,Boulder,V2,1,20,37.30758,-118.43728,108593029,2,1,1,0,2
Problem B,Granitic Boulder > Arch Drude Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108593131/problem-b,1,-1,Boulder,V2,1,16,37.30776,-118.4374,108593131,2,1,1,1,2
Problem A,William The Vollman > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620958/problem-a,1,-1,Boulder,V2 R,1,20,37.30727,-118.4362,108620958,2.25,1,1,0,0
Death Mantel,Helluland > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108621000/death-mantel,1,-1,Boulder,V2 PG13,1,10,37.30716,-118.43604,108621000,2,1,1,0,2
Re-write History,Wave Boulder > Wave Boulder Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108621092/re-write-history,1,-1,Boulder,V2,1,15,37.30711,-118.43541,108621092,2,2,1,0,3
Problem A,Kojak Boulder > Wave Boulder Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108621120/problem-a,1,-1,Boulder,V2,1,,37.3071,-118.435,108621120,2,1,1,0,2
Yggdrassil,Golden Child Wall > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108592941/yggdrassil,1.7,-1,Boulder,V2+,1,16,37.30733,-118.4365,108592941,2.25,3,1,3,4
Ainvar,Goblin Rock > Thunder Wall Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108538909/ainvar,1.9,-1,Boulder,V2+,1,8,37.30758,-118.4365,108538909,2.25,13,3,2,19
Fear of the Unknown,Sacrificial Boulder > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107009299/fear-of-the-unknown,3.5,-1,Boulder,V3 PG13,1,17,37.30698,-118.43702,107009299,3,10,5,14,10
Netherworld,Hall of the Mountain Queens > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724071/netherworld,2,-1,Boulder,V3,1,10,37.30792,-118.43255,109724071,3,2,1,1,1
Good World,Hall of the Mountain Queens > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724172/good-world,2.5,-1,Boulder,V3,1,10,37.30792,-118.43255,109724172,3,2,1,3,7
There is no Party Left (variation),Hall of the Mountain Queens > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724191/there-is-no-party-left-variation,2.8,-1,Boulder,V3,1,15,37.30792,-118.43255,109724191,3,4,1,2,8
Thunder,Thunder Wall Boulder > Thunder Wall Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106079188/thunder,3.4,-1,Boulder,V3,1,11,37.30761,-118.43628,106079188,3,59,16,49,73
Missack,MIssack > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108621009/missack,2,-1,Boulder,V3,1,12,37.30711,-118.43566,108621009,3,3,3,3,3
Who Love's Ya Baby?,Kojak Boulder > Wave Boulder Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107203687/who-loves-ya-baby,2.4,-1,Boulder,V3,1,,37.3071,-118.435,107203687,3,23,4,6,28
Lollipop,Kojak Boulder > Wave Boulder Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108621114/lollipop,1.5,-1,Boulder,V3,1,10,37.3071,-118.435,108621114,3,4,1,1,5
Halfway House,Trailside Boulder > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112776229/halfway-house,2,-1,Boulder,V3,1,15,37.30959,-118.4361,112776229,3,1,1,0,0
Blood Kin Sit,Blood Kin Stone > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107032713/blood-kin-sit,3,-1,Boulder,V4,1,18,37.30744,-118.43635,107032713,4,5,5,6,5
Truth Crushed to Earth Will Rise Again,Odin's Cave > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108592964/truth-crushed-to-earth-will-rise-again,2,-1,Boulder,V4,1,15,37.30736,-118.43648,108592964,4,2,1,2,3
Sheep Cat Lives On,Odin's Cave > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620741/sheep-cat-lives-on,2,-1,Boulder,V4 R,1,25,37.30736,-118.43648,108620741,4.25,1,1,0,0
Problem A,Odin's Cave > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620746/problem-a,1,-1,Boulder,V4,1,12,37.30736,-118.43648,108620746,4,1,1,0,2
