Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"White Face","Warmup Boulders > Bardini Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/114054765/white-face,2.0,-1,Boulder,V1,1,,37.31829,-118.5863
"The Glass House Arete","The Glass House > The Glass House > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/114054434/the-glass-house-arete,2.0,-1,Boulder,"V1 PG13",1,20,37.31538,-118.5724
Unknown,"Creek Boulder > Heaven > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/114054520/unknown,2.0,-1,"Boulder, Alpine",V1,1,,37.28557,-118.64861
"West Face","Whale Boulder > Heaven > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/114054598/west-face,2.0,-1,"Boulder, Alpine","V1 PG13",1,,37.28602,-118.64944
"West Arete","Tang > Heaven > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/114054638/west-arete,2.0,-1,"Boulder, Alpine",V1,1,,37.28499,-118.65077
"Unnamed V2","Iron Man Boulder > Iron Man Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107370951/unnamed-v2,2.3,-1,Boulder,V1+,1,,37.33001,-118.57811
Unnamed,"Lower Smoking Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107347384/unnamed,2.4,-1,Boulder,V1+,1,20,37.32881,-118.57469
"Pothole Traverse","Pothole Boulder > Buttermilk Stem Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106130742/pothole-traverse,2.5,-1,Boulder,V1-2,1,,37.32885,-118.57667
Wanderlust,"Lidija / Pollen Grain Boulder > Pollen Grains / Lidija Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107027383/wanderlust,2.4,-1,Boulder,V2,1,,37.3377,-118.5701
"Hunting Dog","Lidija / Pollen Grain Boulder > Pollen Grains / Lidija Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108477060/hunting-dog,2.3,-1,Boulder,V2,1,12,37.3377,-118.5701
"Cover Me With Flowers","Honey Boulder > Pollen Grains / Lidija Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108054574/cover-me-with-flowers,3.3,-1,Boulder,V2,1,,37.337,-118.5702
"Timothy Leary Presents...","The Hive Boulder > Pollen Grains / Lidija Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/112252241/timothy-leary-presents,3.4,-1,Boulder,V2,1,20,37.33781,-118.57337
"North Face Direct","Grandma Peabody Boulder > Peabody Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106378692/north-face-direct,3.3,-1,Boulder,V2,1,20,37.32837,-118.57479
"Birthday Left (SDS)","Birthday Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106027084/birthday-left-sds,2.1,-1,Boulder,V2,1,12,37.33004,-118.57901
"The Prow","Birthday Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106131018/the-prow,2.8,-1,Boulder,V2,1,16,37.33004,-118.57901
"North Roof Crack","Birthday Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106495109/north-roof-crack,2.3,-1,Boulder,V2,1,,37.33004,-118.57901
"Inner Sanctum","Cave Boulder > Cave Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107064103/inner-sanctum,2.4,-1,Boulder,V2,1,8,37.32863,-118.57634
"Green Wall Essential","Green Wall Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105936142/green-wall-essential,3.1,-1,Boulder,V2,1,20,37.32873,-118.57534
"Problem C","Ranger Rock > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105936782/problem-c,2.8,-1,Boulder,V2,1,,37.32964,-118.57869
"Problem I","Ranger Rock > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105936806/problem-i,1.3,-1,Boulder,V2,1,,37.32964,-118.57869
"Problem E","Ranger Rock > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106060912/problem-e,1.4,-1,Boulder,V2,1,,37.32964,-118.57869
"Unnamed Slab","Ranger Rock > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/114223690/unnamed-slab,2.0,-1,Boulder,V2,1,,37.32964,-118.57869
"Monkey Dihedral","Saigon Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106908986/monkey-dihedral,3.3,-1,Boulder,V2,1,17,37.32944,-118.57548
Sheepherder,"The Loaf > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106279792/sheepherder,3.5,-1,Boulder,V2,1,,37.33022,-118.57882
Scoop,"Stained Glass/Flyboy Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/115381134/scoop,2.0,-1,Boulder,V2,1,15,37.33057,-118.57834
"Problem A","Tut Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106060948/problem-a,2.0,-1,Boulder,V2,1,,37.329,-118.5773
"Problem E","Fit Homeless Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106060983/problem-e,2.0,-1,Boulder,V2,1,,37.32895,-118.57595
