Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"What Mick Missed","The Snapper Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106642896/what-mick-missed,1.5,-1,Boulder,V0,1,12,37.42324,-118.43279
"Bishop Bomber / Pound Sign","Bomber Boulders > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106642953/bishop-bomber-pound-sign,1.0,-1,Boulder,V0,1,12,37.42324,-118.43279
"Caveat Emptor","Bomber Boulders > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106642958/caveat-emptor,2.0,-1,Boulder,V0,1,12,37.42324,-118.43279
"Teen Angst","Bomber Boulders > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106642972/teen-angst,0.0,-1,Boulder,V0,1,12,37.42324,-118.43279
"Lonely Teenage Bedroom","Bomber Boulders > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106642980/lonely-teenage-bedroom,1.0,-1,Boulder,V0,1,12,37.42324,-118.43279
"Funkadella Bdelia","Shorty Boulder > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106669872/funkadella-bdelia,1.7,-1,Boulder,V0,1,8,37.42232,-118.43364
Parliament,"Shorty Boulder > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106669877/parliament,1.7,-1,Boulder,V0,1,8,37.42232,-118.43364
"Problem A","Shorty Boulder > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106669883/problem-a,1.5,-1,Boulder,V0,1,8,37.42232,-118.43364
"Hands Free Slab","Water Colors Alcove > Pow Pow Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106643017/hands-free-slab,2.6,-1,Boulder,V0,1,8,37.42112,-118.43318
"The Flake Crack","Flake Boulder > Misery Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106954448/the-flake-crack,1.0,-1,Boulder,V0,1,15,37.41759,-118.43276
"The Groove","Flake Boulder > Misery Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106954482/the-groove,3.1,-1,Boulder,V0,1,12,37.41759,-118.43276
"President Bush","White House Wall > Misery Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/116664985/president-bush,3.6,-1,Boulder,V0,1,15,37.42048,-118.43303
"Baby Tooth","The Bird Cage Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/114197422/baby-tooth,2.0,-1,Boulder,V0,1,10,37.4217,-118.43308
"Parrot Fashion","Parrot Fashion Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106739946/parrot-fashion,2.2,-1,Boulder,V0,1,15,37.4217,-118.43308
"Bertie Blunt","Bertie Blunt > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106731624/bertie-blunt,1.3,-1,Boulder,V0,1,10,37.4217,-118.43308
"Mad Parrot","Sad Parrot Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106740001/mad-parrot,1.0,-1,Boulder,V0,1,10,37.4217,-118.43308
"Bad Parrot","Sad Parrot Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106740008/bad-parrot,1.7,-1,Boulder,V0,1,10,37.4217,-118.43308
"Problem A","South Arete Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106739973/problem-a,1.0,-1,Boulder,V0,1,12,37.4217,-118.43308
