route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade,star_ratings,suggested_ratings,on_to_do_lists,ticks
Heelin' It,Psycho Billy Boulder > Kindergarten Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/116578658/heelin-it,4,-1,Boulder,V2+,1,8,37.4228,-118.4343,116578658,2.25,2,1,2,1
Off the couch & Up the nose,"Short Arete Boulders > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107538976/off-the-couch-up-the-nose,3,-1,Boulder,V2-3,1,12,37.42232,-118.43364,107538976,2.5,1,1,7,0
Pencil Dick Upright,Prozac Nation Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642843/pencil-dick-upright,1,-1,Boulder,V3-,1,10,37.42324,-118.43279,106642843,2.75,1,1,4,2
Undercling Problem,Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106322785/undercling-problem,2.1,-1,Boulder,V3,1,14,37.42254,-118.43364,106322785,3,17,8,6,25
Head Heritage,Molly Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106108534/head-heritage,2.1,-1,Boulder,V3,1,10,37.42075,-118.43391,106108534,3,29,9,7,42
Crystal,Crystal Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642780/crystal,2.5,-1,Boulder,V3,1,15,37.42324,-118.43279,106642780,3,13,3,7,16
Guantanamera,Birth of the Cool Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/116145253/guantanamera,3,-1,Boulder,V3,1,8,37.41845,-118.43374,116145253,3,1,1,3,0
Humpty Dumpty,Humpty Dumpty Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106329054/humpty-dumpty,3.3,-1,Boulder,V3,1,15,37.41759,-118.43276,106329054,3,4,2,13,3
Maximum Relaxum,Death Star Cave > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106617237/maximum-relaxum,2.8,-1,Boulder,V3,1,15,37.42029,-118.43379,106617237,3,25,6,25,35
Hauck A Loogie - Var,"Hauck a Loogie Boulder > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106637367/hauck-a-loogie-var,2.4,-1,Boulder,V3,1,12,37.42232,-118.43364,106637367,3,20,7,4,29
Back Room at Rusty's,"Short Arete Boulders > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108002608/back-room-at-rustys,2,-1,Boulder,V3,1,,37.42232,-118.43364,108002608,3,1,1,0,1
Hovercraft,Misery Cave > Misery Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106637292/hovercraft,1,-1,Boulder,V3,1,10,37.41759,-118.43276,106637292,3,1,1,3,4
Problem C,Flake Boulder > Misery Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106954474/problem-c,1,-1,Boulder,V3,1,12,37.41759,-118.43276,106954474,3,1,1,0,0
